,Neighborhood,Year Built,SalePrice,SalePriceUSD
0,NAmes,1960,215000,"$215,000"
1,NAmes,1961,105000,"$105,000"
2,NAmes,1958,172000,"$172,000"
3,NAmes,1968,244000,"$244,000"
4,Gilbert,1997,189900,"$189,900"
5,Gilbert,1998,195500,"$195,500"
6,StoneBr,2001,213500,"$213,500"
7,StoneBr,1992,191500,"$191,500"
8,StoneBr,1995,236500,"$236,500"
9,Gilbert,1999,189000,"$189,000"
10,Gilbert,1993,175900,"$175,900"
11,Gilbert,1992,185000,"$185,000"
12,Gilbert,1998,180400,"$180,400"
13,Gilbert,1990,171500,"$171,500"
14,StoneBr,1985,212000,"$212,000"
15,StoneBr,2003,538000,"$538,000"
16,Gilbert,1988,164000,"$164,000"
17,StoneBr,2010,394432,"$394,432"
18,Gilbert,1951,141000,"$141,000"
19,NWAmes,1978,210000,"$210,000"
20,NWAmes,1977,190000,"$190,000"
21,NWAmes,1974,170000,"$170,000"
22,Somerst,2000,216000,"$216,000"
23,NAmes,1970,149000,"$149,000"
24,NAmes,1971,149900,"$149,900"
25,NAmes,1968,142000,"$142,000"
26,NAmes,1970,126000,"$126,000"
27,NAmes,1971,115000,"$115,000"
28,NAmes,1999,184000,"$184,000"
29,BrDale,1971,96000,"$96,000"
30,BrDale,1971,105500,"$105,500"
31,BrDale,1971,88000,"$88,000"
32,NPkVill,1977,127500,"$127,500"
33,NPkVill,1975,149900,"$149,900"
34,NPkVill,1975,120000,"$120,000"
35,NPkVill,1978,146000,"$146,000"
36,NridgHt,2009,376162,"$376,162"
37,NridgHt,2007,306000,"$306,000"
38,NridgHt,2009,395192,"$395,192"
39,NridgHt,2009,290941,"$290,941"
40,NridgHt,2005,220000,"$220,000"
41,NridgHt,2005,275000,"$275,000"
42,NridgHt,2005,259000,"$259,000"
43,NridgHt,2004,214000,"$214,000"
44,NridgHt,2009,611657,"$611,657"
45,NridgHt,2009,224000,"$224,000"
46,NridgHt,2003,500000,"$500,000"
47,NridgHt,2002,320000,"$320,000"
48,NridgHt,2005,319900,"$319,900"
49,NridgHt,2006,205000,"$205,000"
50,NridgHt,2003,175500,"$175,500"
51,Gilbert,2005,199500,"$199,500"
52,Blmngtn,2006,160000,"$160,000"
53,Blmngtn,2004,192000,"$192,000"
54,Gilbert,2004,184500,"$184,500"
55,Gilbert,2002,216500,"$216,500"
56,Gilbert,2004,185088,"$185,088"
57,Gilbert,2000,180000,"$180,000"
58,Gilbert,2001,222500,"$222,500"
59,NoRidge,1999,333168,"$333,168"
60,NoRidge,1998,355000,"$355,000"
61,NoRidge,1996,260400,"$260,400"
62,NoRidge,1994,325000,"$325,000"
63,NoRidge,1999,290000,"$290,000"
64,NoRidge,1998,221000,"$221,000"
65,NoRidge,1995,410000,"$410,000"
66,Somerst,2005,221500,"$221,500"
67,Somerst,2009,204500,"$204,500"
68,Somerst,2009,215200,"$215,200"
69,Somerst,2008,262500,"$262,500"
70,Somerst,2004,254900,"$254,900"
71,Somerst,2005,271500,"$271,500"
72,SawyerW,2004,233000,"$233,000"
73,SawyerW,2004,181000,"$181,000"
74,SawyerW,1994,205000,"$205,000"
75,SawyerW,1980,143000,"$143,000"
76,SawyerW,1992,189000,"$189,000"
77,SawyerW,1979,99500,"$99,500"
78,SawyerW,1984,125000,"$125,000"
79,SawyerW,1993,194500,"$194,500"
80,SawyerW,1984,152000,"$152,000"
81,SawyerW,1980,171000,"$171,000"
82,SawyerW,1920,67500,"$67,500"
83,Sawyer,1978,112000,"$112,000"
84,Sawyer,1961,148000,"$148,000"
85,Sawyer,1965,138500,"$138,500"
86,Sawyer,1967,122000,"$122,000"
87,Sawyer,1963,133000,"$133,000"
88,Sawyer,1962,127000,"$127,000"
89,Sawyer,1974,169000,"$169,000"
90,NoRidge,1992,190000,"$190,000"
91,NoRidge,1993,362500,"$362,500"
92,NoRidge,1992,285000,"$285,000"
93,Somerst,2004,260000,"$260,000"
94,Somerst,2004,190000,"$190,000"
95,Somerst,2004,155000,"$155,000"
96,Somerst,2004,151000,"$151,000"
97,Somerst,2004,149500,"$149,500"
98,Somerst,2005,152000,"$152,000"
99,Somerst,2009,222000,"$222,000"
100,Somerst,2000,177500,"$177,500"
101,Somerst,2000,177000,"$177,000"
102,Somerst,1999,155000,"$155,000"
103,Somerst,2003,147110,"$147,110"
104,Somerst,2010,267916,"$267,916"
105,Somerst,2000,254000,"$254,000"
106,Greens,1980,155000,"$155,000"
107,Greens,1978,206000,"$206,000"
108,Sawyer,1976,130500,"$130,500"
109,Somerst,2002,230000,"$230,000"
110,NWAmes,1967,218500,"$218,500"
111,NWAmes,1993,243500,"$243,500"
112,NWAmes,1977,205000,"$205,000"
113,NWAmes,1978,212500,"$212,500"
114,NWAmes,1988,196500,"$196,500"
115,NWAmes,1972,197500,"$197,500"
116,NWAmes,1971,171000,"$171,000"
117,NAmes,1966,142250,"$142,250"
118,NWAmes,1963,143000,"$143,000"
119,NAmes,1959,128950,"$128,950"
120,NAmes,1966,159000,"$159,000"
121,NAmes,1967,178900,"$178,900"
122,NAmes,1964,136300,"$136,300"
123,NAmes,1964,180500,"$180,500"
124,NAmes,1963,137500,"$137,500"
125,NAmes,1962,84900,"$84,900"
126,NAmes,1950,142125,"$142,125"
127,NAmes,1952,197600,"$197,600"
128,NAmes,1949,172500,"$172,500"
129,BrkSide,1958,116500,"$116,500"
130,BrkSide,1940,76500,"$76,500"
131,NAmes,1954,128000,"$128,000"
132,NAmes,1955,153000,"$153,000"
133,NAmes,1954,132000,"$132,000"
134,NAmes,1966,178000,"$178,000"
135,NAmes,1960,154300,"$154,300"
136,NAmes,1970,180000,"$180,000"
137,NAmes,1966,190000,"$190,000"
138,NAmes,1958,135000,"$135,000"
139,NAmes,2003,214000,"$214,000"
140,NAmes,1959,136000,"$136,000"
141,NAmes,1959,165500,"$165,500"
142,NAmes,1957,145000,"$145,000"
143,NAmes,1959,148000,"$148,000"
144,NAmes,1959,142000,"$142,000"
145,NAmes,1960,167500,"$167,500"
146,NAmes,1959,108538,"$108,538"
147,NAmes,1959,159500,"$159,500"
148,NAmes,1956,108000,"$108,000"
149,NAmes,1952,135000,"$135,000"
150,NAmes,1955,122500,"$122,500"
151,NAmes,1958,119000,"$119,000"
152,NAmes,1953,109000,"$109,000"
153,NAmes,1920,105000,"$105,000"
154,NAmes,1955,107500,"$107,500"
155,NAmes,1954,144900,"$144,900"
156,NAmes,1956,129000,"$129,000"
157,NAmes,1948,97500,"$97,500"
158,OldTown,1980,144000,"$144,000"
159,NAmes,1959,162000,"$162,000"
160,NAmes,1967,242000,"$242,000"
161,NAmes,1948,132000,"$132,000"
162,NAmes,1959,154000,"$154,000"
163,NAmes,1952,166000,"$166,000"
164,NAmes,1951,134800,"$134,800"
165,NAmes,1962,160000,"$160,000"
166,NAmes,1960,148000,"$148,000"
